date_time,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
2024-07-09 11:18:15.590101,161.07,337.54,1256.99,215.27,413.95,677.91,121.85,155.41,1016.26,146.38,304.44,59.77,127.47,85.66,232.88,476.84,146.92,61.04
2024-07-09 11:18:19.268603,157.14,343.47,1310.28,224.34,417.70,684.87,123.13,157.03,1023.76,147.46,303.41,60.80,128.98,85.66,198.56,436.48,142.99,62.78
2024-07-09 11:18:22.942820,155.57,345.44,1316.71,226.82,418.44,689.05,122.70,157.03,1024.83,147.83,303.41,60.80,129.73,85.66,196.93,429.05,143.55,62.78
2024-07-09 11:18:26.605536,157.14,345.44,1324.98,227.64,419.19,691.13,123.98,158.24,1025.91,148.55,303.41,61.14,129.73,85.66,196.11,431.17,142.99,62.78
2024-07-09 11:18:30.214291,159.50,345.44,1327.74,227.64,419.19,687.65,124.41,158.64,1028.05,149.27,304.44,61.48,129.73,85.66,196.11,429.05,142.99,62.78
2024-07-09 11:23:33.440666,159.50,338.53,1253.31,216.10,413.20,677.91,122.27,155.82,1013.04,146.38,305.46,60.12,127.47,85.66,232.88,478.96,146.92,61.91
2024-07-09 11:23:37.131898,155.57,344.45,1300.17,225.99,419.19,686.26,123.56,157.43,1025.91,147.83,304.44,61.14,128.98,85.66,200.20,437.54,143.55,62.78
2024-07-09 11:23:40.804652,154.78,342.48,1306.61,225.99,417.70,682.78,123.98,158.24,1024.83,148.55,306.49,61.14,129.73,86.49,196.93,435.42,142.99,62.78
2024-07-09 11:23:44.479618,155.57,342.48,1310.28,227.64,416.95,684.17,123.13,157.43,1023.76,148.19,304.44,61.14,129.73,86.49,196.93,432.23,142.99,62.78
2024-07-09 11:23:48.179770,155.57,341.49,1298.34,226.82,414.70,680.69,123.56,157.83,1025.91,148.19,303.41,61.14,129.73,86.49,196.11,433.30,142.99,62.78
2024-07-09 11:28:51.443850,155.57,334.58,1234.94,214.45,410.21,668.86,122.70,155.82,1013.04,146.38,304.44,59.77,126.72,85.66,233.70,484.27,146.92,61.91
2024-07-09 11:28:55.112765,152.43,342.48,1283.64,224.34,415.45,679.30,122.27,156.22,1018.40,147.10,302.39,60.46,127.47,85.66,199.38,439.67,142.43,62.78
2024-07-09 11:28:58.752879,151.64,340.50,1285.47,225.17,413.95,673.73,123.13,157.03,1023.76,147.83,301.36,60.80,128.22,85.66,199.38,437.54,142.99,62.78
2024-07-09 11:29:02.438416,151.64,340.50,1288.23,225.99,414.70,677.21,123.98,157.83,1021.62,147.83,305.46,60.80,128.22,85.66,196.11,436.48,142.99,62.78
2024-07-09 11:29:06.100807,151.64,340.50,1285.47,225.99,413.95,677.91,122.27,156.22,1022.69,147.46,304.44,60.80,128.22,85.66,196.11,432.23,142.43,62.78
2024-07-09 11:34:09.387040,152.43,334.58,1219.32,214.45,409.46,667.47,121.85,155.41,1007.68,146.02,301.36,59.43,125.96,85.66,235.34,484.27,146.92,61.91
2024-07-09 11:34:13.023738,149.28,337.54,1265.26,222.69,412.46,668.16,122.70,156.22,1019.47,146.74,303.41,60.12,127.47,85.66,200.20,442.85,142.99,62.78
2024-07-09 11:34:16.686324,148.50,338.53,1270.77,225.17,410.96,671.64,122.70,157.03,1018.40,147.10,301.36,60.46,127.47,84.84,198.56,436.48,142.43,62.78
2024-07-09 11:34:20.315550,147.71,337.54,1269.85,224.34,410.96,671.64,123.13,157.03,1016.26,147.46,301.36,60.80,128.22,85.66,196.93,437.54,142.43,62.78
2024-07-09 11:34:23.947178,147.71,338.53,1269.85,225.17,410.96,670.25,123.13,156.62,1016.26,147.10,303.41,60.80,127.47,85.66,196.11,436.48,142.99,62.78
2024-07-09 11:39:27.221782,150.85,333.60,1213.80,213.62,407.96,663.99,121.85,155.41,1003.39,145.66,302.39,59.43,125.21,85.66,236.15,492.77,146.35,61.91
2024-07-09 11:39:30.895279,146.93,332.61,1253.31,221.04,407.96,664.68,123.13,157.03,1016.26,146.74,300.34,60.46,126.72,84.84,200.20,442.85,142.99,62.78
2024-07-09 11:39:34.574979,146.14,335.57,1265.26,223.52,410.21,668.86,122.27,156.22,1018.40,147.10,301.36,60.46,127.47,85.66,198.56,439.67,142.43,62.78
2024-07-09 11:39:38.291577,146.14,335.57,1262.50,224.34,410.21,667.47,122.70,156.62,1016.26,146.38,303.41,60.46,127.47,85.66,197.75,438.61,142.43,62.78
2024-07-09 11:39:42.009552,146.14,337.54,1263.42,225.17,409.46,668.16,123.13,157.03,1015.19,147.10,301.36,60.46,127.47,84.84,196.93,435.42,142.43,62.78
2024-07-09 11:44:45.251699,148.50,331.62,1208.29,213.62,406.47,659.81,121.85,155.01,1004.47,145.30,303.41,59.43,125.21,85.66,233.70,489.58,146.35,61.91
2024-07-09 11:44:48.941965,144.57,335.57,1250.56,222.69,410.21,664.68,121.85,155.82,1015.19,146.74,301.36,60.12,127.47,85.66,201.02,443.92,142.99,62.78
2024-07-09 11:44:52.604692,145.35,335.57,1252.39,224.34,408.71,666.08,122.70,156.22,1015.19,147.10,304.44,60.46,126.72,85.66,197.75,440.73,142.43,62.78
2024-07-09 11:44:56.285066,146.14,335.57,1256.07,224.34,408.71,661.90,122.70,156.22,1015.19,146.74,303.41,60.46,127.47,85.66,197.75,440.73,142.43,62.78
2024-07-09 11:45:00.009100,145.35,337.54,1259.75,225.17,410.21,667.47,122.27,155.82,1013.04,146.38,301.36,60.46,127.47,85.66,196.11,436.48,142.43,62.78
2024-07-09 11:50:03.259539,147.71,328.66,1192.67,212.80,404.22,657.03,120.99,154.20,1002.32,145.30,300.34,59.09,125.21,85.66,233.70,489.58,146.92,61.04
2024-07-09 11:50:06.924203,144.57,333.60,1250.56,221.87,408.71,662.60,122.70,156.62,1011.97,147.10,303.41,60.12,126.72,84.84,200.20,444.98,142.43,62.78
2024-07-09 11:50:10.586974,143.78,335.57,1252.39,223.52,407.96,666.08,122.70,156.22,1014.11,146.38,303.41,60.46,126.72,85.66,198.56,439.67,142.43,62.78
2024-07-09 11:50:14.276877,144.57,336.56,1256.07,224.34,409.46,664.68,122.27,156.22,1016.26,146.74,303.41,60.46,127.47,85.66,199.38,441.79,142.99,62.78
2024-07-09 11:50:17.972357,143.78,332.61,1256.99,223.52,408.71,660.51,122.70,156.22,1016.26,146.74,302.39,60.46,127.47,85.66,196.93,439.67,142.43,62.78
2024-07-09 11:55:21.247972,147.71,333.60,1203.70,214.45,407.22,659.12,121.42,154.60,1004.47,145.30,301.36,59.43,125.21,85.66,236.15,490.64,146.92,61.91
2024-07-09 11:55:24.910865,144.57,334.58,1240.45,222.69,408.71,661.20,122.27,156.22,1017.33,146.74,301.36,60.12,125.96,85.66,201.83,449.23,142.99,62.78
2024-07-09 11:55:28.568275,143.78,335.57,1260.66,223.52,410.21,661.90,122.70,156.22,1017.33,146.74,302.39,60.46,127.47,85.66,198.56,443.92,142.43,62.78
