date_time,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
2024-07-08 14:08:40.983467,299.81,169.38,430.77,294.07,402.91,457.33,4115.68,1785.15,4746.21,586.39,358.56,771.37,165.62,209.47,505.95,500.19,216.76,108.38
2024-07-08 14:08:44.650501,299.81,171.34,439.16,301.07,405.19,462.44,4148.88,1822.73,4786.92,590.71,361.79,784.04,165.62,206.97,495.32,483.87,214.77,109.34
2024-07-08 14:08:48.293259,291.62,168.39,438.23,300.20,405.19,455.86,4135.14,1803.10,4752.99,593.58,361.79,784.04,165.62,206.13,494.43,482.70,214.77,109.34
2024-07-08 14:08:51.958281,295.71,170.36,440.09,303.70,402.91,459.52,4151.17,1824.41,4783.53,593.58,367.18,784.95,166.39,207.80,495.32,483.87,214.77,110.29
2024-07-08 14:08:55.626721,292.44,169.38,438.23,301.95,405.19,457.33,4115.11,1798.05,4732.64,594.06,361.79,782.23,164.86,205.30,490.89,479.20,213.44,109.34
2024-07-08 14:13:58.860849,296.53,167.41,427.97,290.57,400.64,457.33,4178.08,1827.21,4651.22,591.18,353.18,775.90,164.10,209.47,499.75,503.69,218.08,109.34
2024-07-08 14:14:02.522202,287.52,166.42,430.77,294.95,397.60,452.94,4184.38,1831.70,4697.58,596.45,359.64,788.12,164.86,206.97,496.20,486.20,215.43,110.29
2024-07-08 14:14:06.226059,282.61,168.39,438.23,301.07,402.15,458.06,4159.19,1818.24,4751.86,595.50,359.64,789.02,166.39,207.80,494.43,489.70,214.77,110.29
2024-07-08 14:14:09.884684,287.52,169.38,442.89,303.70,405.95,463.90,4179.23,1821.60,4706.63,592.62,360.72,778.61,164.86,206.13,491.77,483.87,214.77,109.34
2024-07-08 14:14:13.575865,287.52,167.41,436.36,300.20,401.40,456.60,4152.32,1817.68,4792.57,592.14,360.72,783.59,166.39,206.97,492.66,481.53,214.77,110.29
2024-07-08 14:19:16.829322,291.62,167.41,431.70,290.57,399.88,452.21,4071.60,1766.64,4722.46,586.87,357.49,768.20,165.62,211.14,505.95,502.52,216.09,108.38
2024-07-08 14:19:20.509154,285.88,168.39,438.23,298.45,404.43,458.79,4178.65,1826.65,4710.02,595.50,357.49,784.50,164.86,207.80,493.54,485.03,216.09,109.34
2024-07-08 14:19:24.172697,284.24,167.41,437.30,299.32,401.40,455.13,4101.94,1791.88,4716.81,589.27,361.79,775.44,165.62,206.13,488.23,481.53,214.10,109.34
2024-07-08 14:19:27.852714,280.97,167.41,437.30,299.32,401.40,455.86,4131.14,1795.24,4651.22,595.50,355.33,781.78,163.33,204.46,485.57,475.70,214.77,109.34
2024-07-08 14:19:31.527234,282.61,168.39,438.23,300.20,402.15,455.13,4174.65,1812.63,4707.76,596.93,356.41,787.21,164.10,205.30,486.45,478.04,213.44,109.34
2024-07-08 14:24:34.803866,284.24,167.41,431.70,293.20,400.64,457.33,4080.76,1773.37,4634.25,589.75,359.64,768.65,164.10,208.64,503.29,496.69,217.42,108.38
2024-07-08 14:24:38.478455,282.61,168.39,435.43,298.45,401.40,457.33,4108.81,1786.83,4742.82,589.75,357.49,776.80,165.62,207.80,492.66,486.20,213.44,109.34
2024-07-08 14:24:42.142835,278.51,168.39,435.43,301.95,401.40,458.79,4077.32,1781.22,4729.25,599.81,357.49,779.06,164.86,206.97,487.34,479.20,215.43,108.38
2024-07-08 14:24:45.789312,282.61,168.39,435.43,300.20,401.40,455.13,4186.67,1844.04,4710.02,593.10,358.56,784.50,164.10,206.97,485.57,478.04,214.10,110.29
