date_time,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
2024-07-08 14:08:40,107.64,266.48,919.77,177.33,349.58,579.08,123.56,156.62,939.07,138.43,289.06,57.72,119.93,79.9,231.25,500.2,140.19,61.91
2024-07-08 14:08:44,105.28,269.44,959.28,184.75,354.07,586.04,124.41,158.24,946.58,139.87,289.06,58.41,120.68,79.9,196.11,454.54,135.7,62.78
2024-07-08 14:08:48,104.5,270.43,960.2,185.58,352.57,586.73,124.41,158.24,945.51,139.87,291.11,58.41,121.44,79.9,195.3,454.54,135.7,62.78
2024-07-08 14:08:51,103.71,270.43,965.71,186.4,354.07,587.43,124.41,158.24,947.65,140.24,291.11,58.41,120.68,79.9,195.3,451.35,135.7,62.78
2024-07-08 14:08:55,103.71,269.44,962.96,185.58,352.57,584.64,124.84,159.05,946.58,140.24,291.11,58.41,121.44,79.9,193.66,450.29,135.7,62.78
2024-07-08 14:13:58,104.5,264.51,910.58,176.51,346.58,580.47,122.27,155.82,933.71,138.43,288.04,57.38,119.93,79.9,235.34,502.33,140.19,61.91
2024-07-08 14:14:02,102.14,270.43,949.17,183.93,351.07,588.12,123.56,157.43,943.36,139.15,289.06,58.07,119.93,79.9,200.2,457.72,136.26,62.78
2024-07-08 14:14:06,101.36,268.46,950.09,184.75,350.33,585.34,123.98,157.83,945.51,139.51,290.09,58.07,120.68,79.9,197.75,453.47,135.7,62.78
2024-07-08 14:14:09,102.14,269.44,949.17,185.58,349.58,588.82,123.98,158.24,940.15,139.15,288.04,58.07,120.68,79.9,196.93,451.35,136.26,62.78
2024-07-08 14:14:13,102.14,270.43,955.61,186.4,351.07,589.52,124.41,158.24,942.29,139.15,288.04,58.41,121.44,79.9,196.93,449.23,136.26,62.78
2024-07-08 14:19:16,104.5,265.49,920.69,176.51,349.58,581.16,123.13,156.62,934.79,138.07,288.04,57.72,119.93,79.9,233.7,500.2,139.63,61.91
2024-07-08 14:19:20,101.36,268.46,952.85,183.93,351.82,585.34,123.98,157.83,939.07,139.51,287.01,58.07,119.17,79.07,200.2,458.78,136.26,62.78
2024-07-08 14:19:24,101.36,267.47,949.17,184.75,351.07,583.25,123.98,157.43,941.22,139.15,287.01,58.07,120.68,79.9,196.11,455.6,135.7,62.78
2024-07-08 14:19:27,101.36,270.43,964.79,186.4,354.07,587.43,123.98,157.43,942.29,139.15,288.04,58.07,120.68,79.9,196.93,451.35,135.7,62.78
