date_time,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
2024-07-08 14:08:44,299.81,171.34,439.16,301.07,405.19,462.44,4148.88,1822.73,4786.92,590.71,361.79,784.04,165.62,206.97,495.32,483.87,214.77,109.34
2024-07-08 14:08:48,291.62,168.39,438.23,300.2,405.19,455.86,4135.14,1803.1,4752.99,593.58,361.79,784.04,165.62,206.13,494.43,482.7,214.77,109.34
2024-07-08 14:08:51,295.71,170.36,440.09,303.7,402.91,459.52,4151.17,1824.41,4783.53,593.58,367.18,784.95,166.39,207.8,495.32,483.87,214.77,110.29
2024-07-08 14:08:55,292.44,169.38,438.23,301.95,405.19,457.33,4115.11,1798.05,4732.64,594.06,361.79,782.23,164.86,205.3,490.89,479.2,213.44,109.34
2024-07-08 14:13:58,296.53,167.41,427.97,290.57,400.64,457.33,4178.08,1827.21,4651.22,591.18,353.18,775.9,164.1,209.47,499.75,503.69,218.08,109.34
2024-07-08 14:14:02,287.52,166.42,430.77,294.95,397.6,452.94,4184.38,1831.7,4697.58,596.45,359.64,788.12,164.86,206.97,496.2,486.2,215.43,110.29
2024-07-08 14:14:06,282.61,168.39,438.23,301.07,402.15,458.06,4159.19,1818.24,4751.86,595.5,359.64,789.02,166.39,207.8,494.43,489.7,214.77,110.29
2024-07-08 14:14:09,287.52,169.38,442.89,303.7,405.95,463.9,4179.23,1821.6,4706.63,592.62,360.72,778.61,164.86,206.13,491.77,483.87,214.77,109.34
2024-07-08 14:14:13,287.52,167.41,436.36,300.2,401.4,456.6,4152.32,1817.68,4792.57,592.14,360.72,783.59,166.39,206.97,492.66,481.53,214.77,110.29
2024-07-08 14:19:16,291.62,167.41,431.7,290.57,399.88,452.21,4071.6,1766.64,4722.46,586.87,357.49,768.2,165.62,211.14,505.95,502.52,216.09,108.38
2024-07-08 14:19:20,285.88,168.39,438.23,298.45,404.43,458.79,4178.65,1826.65,4710.02,595.5,357.49,784.5,164.86,207.8,493.54,485.03,216.09,109.34
2024-07-08 14:19:24,284.24,167.41,437.3,299.32,401.4,455.13,4101.94,1791.88,4716.81,589.27,361.79,775.44,165.62,206.13,488.23,481.53,214.1,109.34
2024-07-08 14:19:27,280.97,167.41,437.3,299.32,401.4,455.86,4131.14,1795.24,4651.22,595.5,355.33,781.78,163.33,204.46,485.57,475.7,214.77,109.34
2024-07-08 14:19:31,282.61,168.39,438.23,300.2,402.15,455.13,4174.65,1812.63,4707.76,596.93,356.41,787.21,164.1,205.3,486.45,478.04,213.44,109.34
2024-07-08 14:24:34,284.24,167.41,431.7,293.2,400.64,457.33,4080.76,1773.37,4634.25,589.75,359.64,768.65,164.1,208.64,503.29,496.69,217.42,108.38
2024-07-08 14:24:38,282.61,168.39,435.43,298.45,401.4,457.33,4108.81,1786.83,4742.82,589.75,357.49,776.8,165.62,207.8,492.66,486.2,213.44,109.34
2024-07-08 14:24:42,278.51,168.39,435.43,301.95,401.4,458.79,4077.32,1781.22,4729.25,599.81,357.49,779.06,164.86,206.97,487.34,479.2,215.43,108.38
2024-07-08 14:24:45,282.61,168.39,435.43,300.2,401.4,455.13,4186.67,1844.04,4710.02,593.1,358.56,784.5,164.1,206.97,485.57,478.04,214.1,110.29
2024-07-08 14:24:49,280.97,167.41,436.36,299.32,400.64,455.13,4233.61,1849.65,4741.68,590.23,358.56,793.1,165.62,206.13,491.77,479.2,212.78,109.34
2024-07-08 14:29:52,281.79,166.42,433.57,291.44,400.64,454.4,4032.67,1762.16,4681.75,583.04,356.41,762.77,163.33,207.8,498.86,494.36,216.76,107.43
2024-07-08 14:29:56,280.97,166.42,435.43,295.82,399.88,452.94,4108.24,1782.91,4762.04,586.87,352.1,774.99,164.86,206.13,486.45,480.37,214.1,108.38
2024-07-08 14:30:00,277.69,166.42,438.23,299.32,402.15,456.6,4108.24,1788.51,4795.97,590.71,359.64,776.35,166.39,206.97,491.77,485.03,214.1,109.34
2024-07-08 14:30:03,276.87,167.41,441.03,300.2,401.4,456.6,4183.23,1814.31,4646.69,585.91,356.41,785.85,163.33,205.3,489.11,476.87,213.44,109.34
2024-07-08 14:30:07,277.69,167.41,441.03,301.07,403.67,457.33,4115.11,1799.17,4658.0,590.23,357.49,778.16,164.1,206.13,487.34,476.87,213.44,109.34
2024-07-08 14:35:10,279.33,165.44,431.7,290.57,400.64,454.4,4086.48,1781.22,4589.02,586.87,353.18,766.84,163.33,209.47,492.66,495.53,217.42,107.43
2024-07-08 14:35:14,275.23,167.41,436.36,298.45,400.64,456.6,4131.71,1807.58,4707.76,592.62,354.26,779.06,163.33,206.13,488.23,479.2,214.1,109.34
2024-07-08 14:35:18,276.05,167.41,440.09,299.32,402.15,457.33,4076.18,1775.05,4650.08,594.06,357.49,774.08,163.33,206.97,485.57,479.2,213.44,108.38
2024-07-08 14:35:21,276.87,167.41,440.09,300.2,402.15,455.86,4079.04,1781.22,4642.17,593.58,354.26,775.44,162.57,204.46,482.02,472.21,214.1,109.34
2024-07-08 14:35:25,275.23,166.42,439.16,298.45,402.15,455.13,4074.46,1762.72,4629.73,585.44,354.26,770.92,162.57,205.3,480.25,474.54,212.12,108.38
